respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.078713503,0.13806315
26708,0.1425049,0.08926887
26709,0.135297474,0.330784969
26710,0.165144179,0.95356813
26711,0.08437835,0.092236104
26712,0.064450271,0.2181692
26713,0.098243836,0.542380304
26714,0.378704039,0.421900802
26715,0.131714169,0.461269812
26716,0.163634091,0.826721485
26717,0.102323859,0.407840793
26718,0.124292953,0.112234317
26719,0.146145587,0.954444905
26720,0.112643025,0.069221014
26721,0.145143435,0.351436941
26722,0.141380709,0.222139052
26723,0.36303127,0.959575154
26724,0.320561075,0.838135683
26725,0.349283353,0.649599944
26726,0.107480309,0.287005303
26727,0.501920079,0.911495365
26728,0.430616114,0.388398468
26729,0.33417098,0.277779545
26730,0.168779385,0.132961112
26731,0.24641398,0.721293496
26732,0.088724628,0.281765554
26733,0.370050759,0.616020358
26734,0.108202089,0.300080309
26735,0.071167969,0.277628383
26736,0.364923692,0.622152235
26737,0.295668941,0.575737837
26738,0.105316192,0.324787687
26739,0.058414502,0.05896285
26740,0.421746952,0.500656357
26741,0.171673556,0.194618417
26742,0.693358112,0.817887806
26743,0.166055833,0.811551836
26744,0.111080793,0.309904004
26745,0.243321221,0.828586607
26746,0.159178854,0.402062069
26747,0.236683167,0.435260636
26748,0.393603216,0.310323877
26749,0.071527158,0.137151748
26750,0.503670122,0.859489572
26751,0.107918097,0.300079098
26752,0.108380318,0.1486049
26753,0.180530168,0.718490933
26754,0.177982952,0.14888062
26755,0.260215851,0.722037238
26756,0.170159001,0.143626404
26757,0.189399133,0.148970363
26758,0.197475301,0.696319455
26759,0.132065355,0.38615363
26760,0.224359422,0.292592635
26761,0.141189482,0.477420561
26762,0.152879539,0.594370888
26763,0.151362629,0.790285074
26764,0.119029908,0.442214587
26765,0.119051154,0.4581643
26766,0.095258134,0.053047707
26767,0.694187173,0.875794281
26768,0.160760315,0.131982539
26769,0.038185411,0.045106338
26770,0.276971862,0.530493777
26771,0.133756358,0.249485939
26772,0.16280421,0.331640347
26773,0.074154065,0.063094268
26774,0.409312446,0.709844367
26775,0.132917644,0.749129175
26776,0.093632057,0.232620447
26777,0.139610205,0.390208742
26778,0.155322211,0.645685443
